"","fDate","datalogger","temp_min","temp_median","temp_mean","temp_max","hum_min","hum_median","hum_mean","hum_max","vpd_min","vpd_median","vpd_mean","vpd_max","transect","Community","site","time"
"44",2019-12-31,1,7.4,17.5,20.2770833333333,38.9,22.4,46.7,49.2333333333333,80.7,0.199541143770757,1.11226243964631,1.73631563609727,5.36857712782282,"t1","B shrubland","B shrubland / t1",10
"45",2020-01-01,1,13.4,20.35,24.0010416666667,42.2,23.5,45.4,44.29375,80.3,0.385590724320004,1.28202144868175,2.16285571463726,6.29924198991798,"t1","B shrubland","B shrubland / t1",11
"46",2020-01-02,1,11.2,17.45,21.0885416666667,37.2,31.8,82.25,68.8125,94.1,0.10909507925991,0.356023821143699,1.23255661817861,3.96544835164638,"t1","B shrubland","B shrubland / t1",12
"47",2020-01-03,1,9.9,20.5,21.990625,39.4,27.6,53.1,50.6552083333333,77.4,0.276740929282152,1.12054511190649,1.74000622868037,5.1988559625509,"t1","B shrubland","B shrubland / t1",13
"48",2020-01-04,1,8.2,18.25,19.9260416666667,36.5,18.7,47.75,45.6822916666667,71.6,0.357315170683596,1.12404962072571,1.6277005446029,4.90885815375527,"t1","B shrubland","B shrubland / t1",14
"49",2020-01-05,1,5.3,12,11.3385416666667,24.4,32.6,61.15,60.2583333333333,75.7,0.223388667498976,0.540250582656857,0.590479958598683,1.85326339661483,"t1","B shrubland","B shrubland / t1",15
"50",2020-01-06,1,4.3,11.05,11.4541666666667,27,33.4,59.4,57.9958333333333,74.5,0.220292612860838,0.556060192589526,0.695475048058543,2.38420118387485,"t1","B shrubland","B shrubland / t1",16
"51",2020-01-07,1,6,10,13.15,31.2,32.6,66.15,62.815625,82.3,0.179279279838007,0.396787113698534,0.7497285227483,3.02398467413624,"t1","B shrubland","B shrubland / t1",17
"52",2020-01-08,1,5,7.55,8.509375,14.4,59.3,84.6,82.1885416666667,90.3,0.0910841283820425,0.169944084479957,0.210139589051027,0.580614821667186,"t1","B shrubland","B shrubland / t1",18
"53",2020-01-09,1,2,4.45,7.50104166666667,20,55.9,89.45,83.509375,92.7,0.056356929441275,0.078934557401711,0.22689243598577,0.997227274801894,"t1","B shrubland","B shrubland / t1",19
"54",2020-01-10,1,5.2,9.55,13.1833333333333,26.9,37.6,73.35,66.2166666666667,88,0.111904631837481,0.321690882392468,0.727102644209962,2.143638079323,"t1","B shrubland","B shrubland / t1",20
"55",2020-01-11,1,4.8,11.8,15.75625,31.9,32.8,61.85,60.9239583333333,88.5,0.101939326735603,0.520449801234556,1.04817017171855,3.1581383589607,"t1","B shrubland","B shrubland / t1",21
"56",2020-01-12,1,8.2,17.25,20.3354166666667,38.8,23.8,54.2,52.928125,81,0.207446415090399,0.886774719990583,1.646754266317,5.18677668173325,"t1","B shrubland","B shrubland / t1",22
"57",2020-01-13,1,12.5,21.4,22.7489583333333,37.8,31.3,45.75,48.4385416666667,74.1,0.376839401030917,1.37139947514366,1.73597373126573,4.5251253005589,"t1","B shrubland","B shrubland / t1",23
"58",2020-01-14,1,7.9,12.65,14.475,27.9,31.4,60.7,59.2375,78.3,0.236419612424882,0.552967542450267,0.777881857891208,2.23427250027789,"t1","B shrubland","B shrubland / t1",24
"59",2020-01-15,1,4.6,8.35,11.2572916666667,25.1,24.1,55.25,47.4083333333333,64,0.324273872175933,0.486988798647534,0.842642445734326,2.42829087134424,"t1","B shrubland","B shrubland / t1",25
"60",2020-01-16,1,1.4,8.35,12.646875,29.1,28.1,46.95,49.24375,76.1,0.165826685512677,0.610599243373872,1.02127326399876,2.90901626768979,"t1","B shrubland","B shrubland / t1",26
"61",2020-01-17,1,8,16.35,19.4489583333333,35.1,27.6,47.75,49.4666666666667,73.9,0.294790869804241,0.985955198330841,1.49729543387778,4.10726988257764,"t1","B shrubland","B shrubland / t1",27
"62",2020-01-18,1,9.7,20.45,22.18125,37.7,24.8,43.9,46.8635416666667,74.8,0.30567522200625,1.37644527681168,1.82092857280151,4.775772663818,"t1","B shrubland","B shrubland / t1",28
"63",2020-01-19,1,10.6,21.25,22.9864583333333,37.6,20,40.55,36.890625,56.6,0.571910683885195,1.49559387526648,2.14210059144512,5.19296015648193,"t1","B shrubland","B shrubland / t1",29
"64",2020-01-20,1,9.2,21.2,21.31875,35.5,24.3,37.2,42.6166666666667,65.7,0.40341814012379,1.62943572389338,1.81498075518209,4.39652818148933,"t1","B shrubland","B shrubland / t1",30
