"","fuel_type","fuel_type_num","transect","Community","site","site_num","fuel_site","fuel_site_num","datalogger","point_id","date","time","moisture"
"280","Live fuel mixture","1","t1","B forest -reg","B forest -reg / t1","3","Live fuel mixture / B forest -reg / t1","3",2,6,2019-12-22,1,193.034825870647
"281","Live fuel mixture","1","t1","B forest -reg","B forest -reg / t1","3","Live fuel mixture / B forest -reg / t1","3",2,7,2019-12-22,1,149.40119760479
"282","Live fuel mixture","1","t1","B forest -reg","B forest -reg / t1","3","Live fuel mixture / B forest -reg / t1","3",2,8,2019-12-22,1,103.592814371257
"283","Live fuel mixture","1","t1","B forest -reg","B forest -reg / t1","3","Live fuel mixture / B forest -reg / t1","3",2,9,2019-12-22,1,421.89349112426
"284","Live fuel mixture","1","t1","B forest -reg","B forest -reg / t1","3","Live fuel mixture / B forest -reg / t1","3",2,10,2019-12-22,1,184.671532846715
"285","Live fuel mixture","1","t1","B forest -reg","B forest -reg / t1","3","Live fuel mixture / B forest -reg / t1","3",2,6,2020-01-04,14,257.142857142857
"286","Live fuel mixture","1","t1","B forest -reg","B forest -reg / t1","3","Live fuel mixture / B forest -reg / t1","3",2,7,2020-01-04,14,202.916666666667
"287","Live fuel mixture","1","t1","B forest -reg","B forest -reg / t1","3","Live fuel mixture / B forest -reg / t1","3",2,8,2020-01-04,14,316.969696969697
"288","Live fuel mixture","1","t1","B forest -reg","B forest -reg / t1","3","Live fuel mixture / B forest -reg / t1","3",2,9,2020-01-04,14,506.410256410256
"289","Live fuel mixture","1","t1","B forest -reg","B forest -reg / t1","3","Live fuel mixture / B forest -reg / t1","3",2,10,2020-01-04,14,301.538461538462
"290","Live fuel mixture","1","t1","B forest -reg","B forest -reg / t1","3","Live fuel mixture / B forest -reg / t1","3",2,6,2020-01-16,26,192.883895131086
"291","Live fuel mixture","1","t1","B forest -reg","B forest -reg / t1","3","Live fuel mixture / B forest -reg / t1","3",2,7,2020-01-16,26,195.454545454545
"292","Live fuel mixture","1","t1","B forest -reg","B forest -reg / t1","3","Live fuel mixture / B forest -reg / t1","3",2,8,2020-01-16,26,238.311688311688
"293","Live fuel mixture","1","t1","B forest -reg","B forest -reg / t1","3","Live fuel mixture / B forest -reg / t1","3",2,9,2020-01-16,26,445.890410958904
"294","Live fuel mixture","1","t1","B forest -reg","B forest -reg / t1","3","Live fuel mixture / B forest -reg / t1","3",2,10,2020-01-16,26,326.315789473684
"295","Live fuel mixture","1","t1","B forest -reg","B forest -reg / t1","3","Live fuel mixture / B forest -reg / t1","3",2,6,2020-01-30,40,155.147058823529
"296","Live fuel mixture","1","t1","B forest -reg","B forest -reg / t1","3","Live fuel mixture / B forest -reg / t1","3",2,7,2020-01-30,40,156.326530612245
"297","Live fuel mixture","1","t1","B forest -reg","B forest -reg / t1","3","Live fuel mixture / B forest -reg / t1","3",2,8,2020-01-30,40,177.777777777778
"298","Live fuel mixture","1","t1","B forest -reg","B forest -reg / t1","3","Live fuel mixture / B forest -reg / t1","3",2,9,2020-01-30,40,260.78431372549
"299","Live fuel mixture","1","t1","B forest -reg","B forest -reg / t1","3","Live fuel mixture / B forest -reg / t1","3",2,10,2020-01-30,40,274.883720930233
"300","Live fuel mixture","1","t1","B forest -reg","B forest -reg / t1","3","Live fuel mixture / B forest -reg / t1","3",2,6,2020-02-19,60,140.322580645161
"301","Live fuel mixture","1","t1","B forest -reg","B forest -reg / t1","3","Live fuel mixture / B forest -reg / t1","3",2,7,2020-02-19,60,154.639175257732
"302","Live fuel mixture","1","t1","B forest -reg","B forest -reg / t1","3","Live fuel mixture / B forest -reg / t1","3",2,8,2020-02-19,60,228.776978417266
"303","Live fuel mixture","1","t1","B forest -reg","B forest -reg / t1","3","Live fuel mixture / B forest -reg / t1","3",2,9,2020-02-19,60,285.945945945946
"304","Live fuel mixture","1","t1","B forest -reg","B forest -reg / t1","3","Live fuel mixture / B forest -reg / t1","3",2,10,2020-02-19,60,244.845360824742
"305","Live fuel mixture","1","t1","B forest -reg","B forest -reg / t1","3","Live fuel mixture / B forest -reg / t1","3",2,6,2020-02-27,68,146.22641509434
"306","Live fuel mixture","1","t1","B forest -reg","B forest -reg / t1","3","Live fuel mixture / B forest -reg / t1","3",2,7,2020-02-27,68,183.076923076923
"307","Live fuel mixture","1","t1","B forest -reg","B forest -reg / t1","3","Live fuel mixture / B forest -reg / t1","3",2,8,2020-02-27,68,219.57671957672
"308","Live fuel mixture","1","t1","B forest -reg","B forest -reg / t1","3","Live fuel mixture / B forest -reg / t1","3",2,9,2020-02-27,68,216.393442622951
"309","Live fuel mixture","1","t1","B forest -reg","B forest -reg / t1","3","Live fuel mixture / B forest -reg / t1","3",2,10,2020-02-27,68,245.739910313901
"310","Live fuel mixture","1","t1","B forest -reg","B forest -reg / t1","3","Live fuel mixture / B forest -reg / t1","3",2,6,2020-03-15,85,111.538461538462
"311","Live fuel mixture","1","t1","B forest -reg","B forest -reg / t1","3","Live fuel mixture / B forest -reg / t1","3",2,7,2020-03-15,85,134.389140271493
"312","Live fuel mixture","1","t1","B forest -reg","B forest -reg / t1","3","Live fuel mixture / B forest -reg / t1","3",2,8,2020-03-15,85,190.909090909091
"313","Live fuel mixture","1","t1","B forest -reg","B forest -reg / t1","3","Live fuel mixture / B forest -reg / t1","3",2,9,2020-03-15,85,172.111553784861
"314","Live fuel mixture","1","t1","B forest -reg","B forest -reg / t1","3","Live fuel mixture / B forest -reg / t1","3",2,10,2020-03-15,85,197.204968944099
"360","Live fuel mixture","1","t1","B shrubland","B shrubland / t1","4","Live fuel mixture / B shrubland / t1","4",1,1,2019-11-21,-30,154.761904761905
"361","Live fuel mixture","1","t1","B shrubland","B shrubland / t1","4","Live fuel mixture / B shrubland / t1","4",1,2,2019-11-21,-30,123.743016759777
"362","Live fuel mixture","1","t1","B shrubland","B shrubland / t1","4","Live fuel mixture / B shrubland / t1","4",1,3,2019-11-21,-30,126.666666666667
"363","Live fuel mixture","1","t1","B shrubland","B shrubland / t1","4","Live fuel mixture / B shrubland / t1","4",1,4,2019-11-21,-30,222.448979591837
"364","Live fuel mixture","1","t1","B shrubland","B shrubland / t1","4","Live fuel mixture / B shrubland / t1","4",1,5,2019-11-21,-30,183.703703703704
"365","Live fuel mixture","1","t1","B shrubland","B shrubland / t1","4","Live fuel mixture / B shrubland / t1","4",1,1,2019-12-06,-15,172.682926829268
"366","Live fuel mixture","1","t1","B shrubland","B shrubland / t1","4","Live fuel mixture / B shrubland / t1","4",1,2,2019-12-06,-15,250.375939849624
"367","Live fuel mixture","1","t1","B shrubland","B shrubland / t1","4","Live fuel mixture / B shrubland / t1","4",1,3,2019-12-06,-15,176.548672566372
"368","Live fuel mixture","1","t1","B shrubland","B shrubland / t1","4","Live fuel mixture / B shrubland / t1","4",1,4,2019-12-06,-15,171.610169491525
"369","Live fuel mixture","1","t1","B shrubland","B shrubland / t1","4","Live fuel mixture / B shrubland / t1","4",1,5,2019-12-06,-15,143.37899543379
"370","Live fuel mixture","1","t1","B shrubland","B shrubland / t1","4","Live fuel mixture / B shrubland / t1","4",1,1,2019-12-22,1,255.121951219512
"371","Live fuel mixture","1","t1","B shrubland","B shrubland / t1","4","Live fuel mixture / B shrubland / t1","4",1,2,2019-12-22,1,231.939163498099
"372","Live fuel mixture","1","t1","B shrubland","B shrubland / t1","4","Live fuel mixture / B shrubland / t1","4",1,3,2019-12-22,1,135.074626865672
"373","Live fuel mixture","1","t1","B shrubland","B shrubland / t1","4","Live fuel mixture / B shrubland / t1","4",1,4,2019-12-22,1,270.481927710843
"374","Live fuel mixture","1","t1","B shrubland","B shrubland / t1","4","Live fuel mixture / B shrubland / t1","4",1,5,2019-12-22,1,156.164383561644
"375","Live fuel mixture","1","t1","B shrubland","B shrubland / t1","4","Live fuel mixture / B shrubland / t1","4",1,1,2020-01-04,14,226.158940397351
"376","Live fuel mixture","1","t1","B shrubland","B shrubland / t1","4","Live fuel mixture / B shrubland / t1","4",1,2,2020-01-04,14,480.740740740741
"377","Live fuel mixture","1","t1","B shrubland","B shrubland / t1","4","Live fuel mixture / B shrubland / t1","4",1,3,2020-01-04,14,183.805668016194
"378","Live fuel mixture","1","t1","B shrubland","B shrubland / t1","4","Live fuel mixture / B shrubland / t1","4",1,4,2020-01-04,14,222.945205479452
"379","Live fuel mixture","1","t1","B shrubland","B shrubland / t1","4","Live fuel mixture / B shrubland / t1","4",1,5,2020-01-04,14,411.428571428572
"380","Live fuel mixture","1","t1","B shrubland","B shrubland / t1","4","Live fuel mixture / B shrubland / t1","4",1,1,2020-01-16,26,267.171717171717
"381","Live fuel mixture","1","t1","B shrubland","B shrubland / t1","4","Live fuel mixture / B shrubland / t1","4",1,2,2020-01-16,26,180.722891566265
"382","Live fuel mixture","1","t1","B shrubland","B shrubland / t1","4","Live fuel mixture / B shrubland / t1","4",1,3,2020-01-16,26,168.722466960352
"383","Live fuel mixture","1","t1","B shrubland","B shrubland / t1","4","Live fuel mixture / B shrubland / t1","4",1,4,2020-01-16,26,309.160305343511
"384","Live fuel mixture","1","t1","B shrubland","B shrubland / t1","4","Live fuel mixture / B shrubland / t1","4",1,5,2020-01-16,26,151.672862453532
"385","Live fuel mixture","1","t1","B shrubland","B shrubland / t1","4","Live fuel mixture / B shrubland / t1","4",1,1,2020-01-30,40,194.974874371859
"386","Live fuel mixture","1","t1","B shrubland","B shrubland / t1","4","Live fuel mixture / B shrubland / t1","4",1,2,2020-01-30,40,250.246305418719
"387","Live fuel mixture","1","t1","B shrubland","B shrubland / t1","4","Live fuel mixture / B shrubland / t1","4",1,3,2020-01-30,40,154.117647058824
"388","Live fuel mixture","1","t1","B shrubland","B shrubland / t1","4","Live fuel mixture / B shrubland / t1","4",1,4,2020-01-30,40,328.859060402685
"389","Live fuel mixture","1","t1","B shrubland","B shrubland / t1","4","Live fuel mixture / B shrubland / t1","4",1,5,2020-01-30,40,187.058823529412
"390","Live fuel mixture","1","t1","B shrubland","B shrubland / t1","4","Live fuel mixture / B shrubland / t1","4",1,1,2020-02-19,60,221.621621621622
